C Lombardia Silver Girone A classifica marcatori in base ai  punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
9,Aliprandi Andrea,AS Dil. Lesmo 2004,A,1994,195,84,6,"14,00"
10,Borroni Marco,Ebro Basket,A,1992,193,331,24,"13,79"
11,Cantarin Stefano,Posal Sesto S. Giovanni,A,1993,191,165,12,"13,75"
12,Vettore Marco,Posal Sesto S. Giovanni,A/C,1988,198,384,28,"13,71"
13,Maniero Davide,AS Dil. Lesmo 2004,A,1994,188,342,25,"13,68"
14,Benazzi Paolo,Sesto Rondinella,A/C,1985,193,378,28,"13,50"
15,Finzi Lorenzo,Social Osa,G,1999,177,397,30,"13,23"
16,Zambelli Federico,ASD Morbegno,P,1990,180,392,30,"13,07"
17,Colombo Federico,Basketown Milano,G,1997,190,391,30,"13,03"
18,Sala Stefano,O.SA.L. Novate,A,1997,194,388,30,"12,93"
19,Pagani Emanuele,Team 86 Villasanta,A,1988,191,293,23,"12,74"
20,Iosca Marco,Basketown Milano,G,1994,193,316,25,"12,64"
,,,,,,,,
