Serie B Girone A classifica marcatori in base ai punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
195,Donati Elias,Basket Cecina ASD,A,1999,199,6,5,"1,20"
196,Mucci Gabriele,Montecatini Terme Basketball,G,2000,178,6,9,"0,67"
197,Rochlitzer Michele,Omnia Basket Pavia,A,1999,192,6,12,"0,50"
198,Ramenghi Riccardo,Fulgor Omegna,A,2000,185,6,16,"0,38"
199,Gennai Alessandro,Fiorentina Basket Scandicci,A,1999,193,5,8,"0,63"
200,Manzani Filippo,Pall. Moncalieri S. Mauro,A,2000,188,5,11,"0,45"
201,Cadario Davide,Robur Et Fides Varese,P,1999,178,4,3,"1,33"
202,Borsello Alessio,Pall. Moncalieri S. Mauro,C,2000,200,4,5,"0,80"
203,Barcarolo Federico,Mamy Oleggio Basket,G,2000,185,4,5,"0,80"
204,Petrolini Simone,Etrusca Basket San Miniato,P,1998,182,4,5,"0,80"
205,Guala Gionata,Fulgor Omegna,G,2000,188,4,9,"0,44"
206,Charles Miguel,Sangiorgese S. Giorgio L.,A,1997,195,4,9,"0,44"
207,Diouf Khadim,Basket Cecina ASD,A/C,1997,205,3,4,"0,75"
208,Gelli Michele,Fiorentina Basket Scandicci,A,1999,181,3,8,"0,38"
209,Calzavara Andrea,Robur Et Fides Varese,G,2001,185,2,1,"2,00"
210,Filahi Anoir,Basket Cecina ASD,C,2000,208,2,2,"1,00"
211,Orlando Filippo,Pall. Moncalieri S. Mauro,A/C,1994,194,2,3,"0,67"
212,Mezzacapo Tommaso,ASD Basket Golfo Piombino,P,2001, ,2,3,"0,67"
213,Vercelli Alessandro,Valsesia Basket Borgosesia,P,2000,187,2,4,"0,50"
214,Bargi Gabriele,Fiorentina Basket Scandicci,G,2000,185,2,6,"0,33"
215,Somaschini Tommaso,Robur Et Fides Varese,P,2001,180,1,2,"0,50"
 , , , , , , , , 
Serie B  Girone A classifica marcatori in base alla  media giornate  punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Mascherpa Giulio,Omnia Basket Pavia,P/G, ,185,136,7,"19,43"
2,Bloise Giacomo,Robur Et Fides Varese,P,1990,180,498,28,"17,79"
3,Mastrangelo Daniele,Liburnia Basket Livorno,G,1991,188,395,23,"17,17"
4,Paleari Andrea,Urania Milano,C,1981,202,364,22,"16,55"
5,Boffelli Santiago,Olimpo Basket Alba,A,1983,197,461,28,"16,46"
6,Laudoni Stefano,Urania Milano,A,1989,194,405,25,"16,20"
7,Gallazzi Edoardo,Mamy Oleggio Basket,A,1986,200,462,29,"15,93"
8,Gatti Nicolò ,Valsesia Basket Borgosesia,A,1991,196,457,29,"15,76"
9,Genovese Salvatore,Fiorentina Basket Scandicci,A,1987,200,470,30,"15,67"
10,Tassinari Andrea,Sangiorgese S. Giorgio L.,P,1996,182,440,29,"15,17"
11,Dell'Agnello Giacomo,Olimpo Basket Alba,A,1994,201,286,19,"15,05"
12,Centanni Simone,Montecatini Terme Basketball,P/G,1991,186,435,29,"15,00"
13,Maino Claudio,Olimpo Basket Alba,P/G,1991,180,314,21,"14,95"
14,Gigena Mario Alberto,Basket Cecina ASD,A,1977,196,414,28,"14,79"
15,Giarelli Gabriele,US Empolese ASD,A,1993,200,442,30,"14,73"
16,Bianconi Corrado,Robur Et Fides Varese,A,1994,202,374,26,"14,38"
17,Magrini Mattia,Valsesia Basket Borgosesia,G,1993,190,359,25,"14,36"
18,Grande Alessandro,Fiorentina Basket Scandicci,P,1994,180,399,28,"14,25"
19,Sodero Guglielmo,Valsesia Basket Borgosesia,G/A,1993,190,427,30,"14,23"
20,Hidalgo Shaquille,Mamy Oleggio Basket,G,1994,188,387,28,"13,82"
,,,,,,,,
