D Lombardia Girone D classifica marcatori in base ai punti  segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
55,Bianco Manfredi,Pallacanestro Gavirate,A,1992,190,165,21,"7,86"
56,Manferdelli Giorgio,Ardens Sedriano Basket,A,1993,xxx,165,23,"7,17"
57,Garanzini Tommaso,Libertas Vanzago,C,1980,xxx,161,22,"7,32"
58,Rapetti Elia,Pall. Vergiate Vikings,A/C,1991,192,160,22,"7,27"
59,Moretti Lorenzo,Pallacanestro Gavirate,G/A,1997,189,160,24,"6,67"
60,Drago Mattia,Pallacanestro Gavirate,C,1995,195,159,23,"6,91"
61,Moretti Edoardo,Campus Varese,A,1998,199,153,15,"10,20"
62,Businelli Davide,Marnatese Basket,C,1997,193,153,19,"8,05"
63,Scibilia,CBC Basketschool Corbetta, , , ,148,16,"9,25"
64,Binaghi Gabriele,San Giuseppe Arese,A/C,1979,195,142,22,"6,45"
65,Ferrario Alessandro,Pall. Vergiate Vikings,A/C,1989,182,136,12,"11,33"
66,Aspesani Cristian,Marnatese Basket,G,1997,178,136,25,"5,44"
67,D'Andria Michel,Oratorio Malnate,A/C,1991,192,132,23,"5,74"
68,Armocida Giovanni,Campus Varese,P,1998,170,130,25,"5,20"
69,Basilissi Matteo,Libertas Vanzago,G,1988,xxx,128,19,"6,74"
70,De Ponte Francesco,San Giuseppe Arese,G,1998,183,128,22,"5,82"
71,Meda ,CBC Basketschool Corbetta, , , ,124,18,"6,89"
72,Santaterra Alessandro,Pallacanestro Gavirate,P,1997,176,124,25,"4,96"
73,Costantini Francesco,Montello 1982,C,1985,195,123,17,"7,24"
74,Macchi Stefano,Pall. Vergiate Vikings,P/G,1995,181,123,25,"4,92"
75,Dini Alessandro,Campus Varese,A,1998,185,119,16,"7,44"
