C Lombardia Silver Girone B classifica marcatori in base ai  punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
147,Viscusi Cristian,AS Dil. Lesmo 2004,G,1998,182,62,24,"2,58"
148,Abi Mustafà,Bocconi Milano,G/A,1979,196,61,20,"3,05"
149,Ruzzon Francesco,MetalGalvano Sesto,C,1995,197,60,27,"2,22"
150,Pedrazini Andrea,Crac Bionics Buccinasco,G/A,1991,190,59,7,"8,43"
151,Casciano Alessandro,Crac Bionics Buccinasco,P,1996,175,56,8,"7,00"
152,Mazzoli Francesco,Soul Basket Milano,C,1990,xxx,55,23,"2,39"
153,Fant Lorenzo,Crac Bionics Buccinasco,P,1983,185,54,14,"3,86"
154,Fornari Matteo,Crac Bionics Buccinasco,G,1995,178,53,14,"3,79"
155,Del Vescovo Matteo,Ebro Basket,G,1996,185,53,28,"1,89"
156,Aliprandi Nicolò,Social Osa,G,1996,187,52,25,"2,08"
157,Williams Joseph,Ebro Basket,C,1977,195,51,15,"3,40"
158,Pauciulo Pierluigi,Bocconi Milano,P/G,1995,178,51,21,"2,43"
159,De Giorgio Gabriele,Crac Bionics Buccinasco,A,1996,182,49,12,"4,08"
160,Valle Riccardo,Soul Basket Milano,P,1996,xxx,49,24,"2,04"
161,Aceti,Polisportiva Varedo, , , ,48,17,"2,82"
162,Bauyon Marvin,Social Osa,P,1998,180,48,26,"1,85"
163,Della Monica Riccardo,Social Osa,G,1998,180,48,28,"1,71"
164,Carnevale Bonino,Sportiva Boffalorese,XXX,xxxx,xxx,45,17,"2,65"
165,Stasi Lorenzo,Basketown Milano,P,1996,180,42,25,"1,68"
166,Monzani Marcello,Ebro Basket,P,1993,175,40,24,"1,67"
167,Zucchetti Luca,Ardor Bollate,A,1999,180,38,18,"2,11"
168,Fortunato Andrea,Bocconi Milano,A,1997,200,36,23,"1,57"
169,Minardi Luca,Basketown Milano,A,1995,195,36,27,"1,33"
170,Zanelli Enrico,Sportiva Boffalorese,A/C,1971,195,35,6,"5,83"
171,Riva Simone,ASD Morbegno,G,1994,178,35,21,"1,67"
172,Carzaniga Matteo,DI.PO. Vimercate,P,1996,179,35,26,"1,35"
173,Tagliareni,Soul Basket Milano, , , ,34,6,"5,67"
174,Vacca Andrea,Bocconi Milano,A/C,1993,194,34,11,"3,09"
175,Contardi Alessansro,Ebro Basket,A,1994,190,33,19,"1,74"
176,Finardi Niccolò,Soul Basket Milano,G,1997,xxx,32,20,"1,60"
177,Forni Simone,Ardor Bollate,G,1993,170,29,20,"1,45"
178,Busoli Andrea,Polisportiva Varedo,C,1998,195,27,23,"1,17"
179,Peghin Alberto,Ebro Basket,G,1996,182,27,25,"1,08"
180,Fumagalli Riccardo,Polisportiva Varedo,A,1998,195,24,12,"2,00"
181,Longoni Andrea,Polisportiva Varedo,A,1994,192,24,12,"2,00"
182,Guerci Andrea,Crac Bionics Buccinasco,G,1996,181,23,10,"2,30"
183,Binaghi matteo,Ebro Basket,A,1999,190,23,18,"1,28"
184,Aguzzoli Marco,Polisportiva Varedo,G,1998,190,22,8,"2,75"
185,Marchini,Soul Basket Milano, , , ,21,15,"1,40"
186,Ziglio Lorenzo,Social Osa,P,1997,175,21,27,"0,78"
187,Fedele Alessandro,Bocconi Milano,G,1996,183,20,14,"1,43"
188,Giuggia,Social Osa, , , ,20,19,"1,05"
189,Belloggi Francesco,Bocconi Milano,G/A,1994,190,19,12,"1,58"
190,Pirola Simone,AS Dil. Lesmo 2004,P,1997,169,19,14,"1,36"
191,Cimorelli Liam,Ardor Bollate,A,1997,186,19,17,"1,12"
192,Podgornik Andrea,Baskettiamo Vittuone,P,1996,170,18,14,"1,29"
193,Saino Andrea,Crac Bionics Buccinasco,A,1996,190,17,11,"1,55"
194,Mazzi,Basketown Milano, , , ,16,4,"4,00"
195,Iosca Andrea,Basketown Milano, , , ,16,15,"1,07"
196,Ravasi Mattia,USSA Nova Milanese,G/A,1998,190,16,24,"0,67"
197,Mazzoli Mattia,Basketown Milano,G,1990,184,15,2,"7,50"
198,Finazzer Francesco,Bocconi Milano,G/A,1995,78,13,10,"1,30"
199,Panizza Matteo,Crac Bionics Buccinasco,A,1996,190,13,11,"1,18"
200,Morano,Basketown Milano, , , ,12,6,"2,00"
201,Morlacchi Riccardo,Baskettiamo Vittuone,A,1997,185,12,7,"1,71"
202,Olivieri Matteo,DI.PO. Vimercate,G,1998,xxx,12,11,"1,09"
203,Medjov,Polisportiva Varedo, , , ,11,1,"11,00"
204,Pozzi Davide,USSA Nova Milanese,C,1996,195,11,13,"0,85"
205,Velez,USSA Nova Milanese, , , ,9,4,"2,25"
206,Ronconi Giacomo,ASD Morbegno,G,1997,xxx,9,8,"1,13"
207,Siragusa Stefano,AS Dil. Lesmo 2004,A,1994,190,8,6,"1,33"
208,Sainaghi Paolo,Baskettiamo Vittuone,A,1996,180,8,10,"0,80"
209,Criscione Edoardo,Ardor Bollate,G,1998,186,8,12,"0,67"
210,Boffi Marco,AS Dil. Lesmo 2004,A,1998,188,8,12,"0,67"
211,D'Agostino,Sportiva Boffalorese, , , ,6,6,"1,00"
212,Rubini,Baskettiamo Vittuone, , , ,6,14,"0,43"
213,Ascenzp I.,Rondinella Sesto, , , ,5,1,"5,00"
214,Bocci Tommaso,Rondinella Sesto,P,1995,185,5,6,"0,83"
215,Molteni Matteo,ASD Morbegno,P,1995,175,5,7,"0,71"
216,Garini Daniele,Rondinella Sesto,A,1997,187,5,12,"0,42"
217,Porta,Baskettiamo Vittuone, , , ,4,2,"2,00"
218,Masocco Samuele,Baskettiamo Vittuone,A/G,1996,185,4,3,"1,33"
219,Monti Andrea,Ardor Bollate,P,1997,176,4,9,"0,44"
220,Carozzi Simone,Social Osa,A,1996,195,4,16,"0,25"
221,Iadevaia,Baskettiamo Vittuone, , , ,3,1,"3,00"
222,Seracini Matteo,Bocconi Milano,A,1996,189,3,5,"0,60"
223,Milani,Ebro Basket, , , ,3,9,"0,33"
224,Poelder,Social Osa, , , ,2,1,"2,00"
225,Galli,AS Dil. Lesmo 2004, , , ,2,1,"2,00"
226,Fusarpoli,Sportiva Boffalorese, , , ,2,1,"2,00"
227,Velati,Ardor Bollate, , , ,2,1,"2,00"
228,Romanato Matteo,AS Dil. Lesmo 2004,P/G,1997,180,2,2,"1,00"
229,Gorlezza,Sportiva Boffalorese, , , ,2,3,"0,67"
230,Gatti Pietro,Rondinella Sesto,G,1999,184,2,8,"0,25"
231,Scotti Francesco,DI.PO. Vimercate,G,1997,xxx,2,26,"0,08"
232,Marzorati,Polisportiva Varedo, , , ,1,2,"0,50"
233,Pace Gianluca,ASD Morbegno,P,1997,xxx,1,7,"0,14"
 , , , , , , , , 
C  Lombardia Silver  Girone B classifica marcatori in base alla  media giornate  punti segnati
n°,Giocatore,Squadra,Ruolo,Anno,Cm ,P.S.,P.G,Media
1,Clementoni Matteo,Bocconi Milano,G,1996,190,527,29,"18,17"
2,Tannoia Riccardo,Baskettiamo Vittuone,P,1997,175,434,26,"16,69"
3,Aliprandi Andrea,AS Dil. Lesmo 2004,A,1994,195,465,28,"16,61"
4,Crippa Riccardo,ASD Morbegno,C,1994,205,321,22,"14,59"
5,Borroni Marco,Ebro Basket,A,1992,195,435,30,"14,50"
6,Anolli Giovanni,Bocconi Milano,A/C,1996,201,187,13,"14,38"
7,Grampa Matteo,Ebro Basket,P,1991,188,212,15,"14,13"
8,Passarini Filippo,Ardor Bollate,A,1994,185,341,25,"13,64"
9,Favero Pieralessandro,ASD Morbegno,G/A,1982,193,407,30,"13,57"
10,Iosca Marco,Basketown Milano,G,1994,193,379,28,"13,54"
11,Kisonga Alexandre Joao,Crac Bionics Buccinasco,C,1984,201,120,9,"13,33"
12,Cantarin Stefano,MetalGalvano Sesto,A,1993,191,345,26,"13,27"
13,Moalli Dario,Crac Bionics Buccinasco,A/C,1991,193,183,14,"13,07"
14,Feloj Stefano,ASD Morbegno,A/C,1992,195,384,30,"12,80"
15,Di Giovanni,Baskettiamo Vittuone, , , ,128,10,"12,80"
16,Galletta Giovanni,Ebro Basket,P,1994,180,166,13,"12,77"
17,Parlato Riccardo,AS Dil. Lesmo 2004,G,1988,184,374,30,"12,47"
18,Mantica Fabrizio,Soul Basket Milano,A,1994,197,322,26,"12,38"
19,Ardizzone Davide,Ebro Basket,G,1988,188,364,30,"12,13"
20,Colombo Andrea,DI.PO. Vimercate,P,1989,185,361,30,"12,03"
,,,,,,,,
