"C  Lombardia Girone B classifica marcatori in base ai punti segnati",
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
241,Vignati Andrea (96),A.Dil.Pall. Rag.S.Pio X,G,2,6,"0,33",
242,Drudi Samuele (79),Nuova Olympia Basket Voghera,P,1,4,"0,25",
"C  Lombardia Girone B classifica marcatori in base alla media punti - partite,  primi 20 giocatori",
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
1,Reali Marco  (81),Pall. Milano 1958,A/C,563,30,"18,77",
2,"Cogliati Emiliano   (94)",P.O.S.A.L. Sesto S.G.,P/G,522,30,"17,40",
3,Finazzi Alberto (87),Nuova Olympia Basket Voghera,A,479,28,"17,11",
4,Becerra Fernando (81),Nuova Olympia Basket Voghera,G,421,26,"16,19",
5,Farina Simone (87),Virtus Gambolò,G,463,30,"15,43",
6,Villa Gabriele (84),A.S. Dil. Lesmo,C,430,28,"15,36",
7,Zandalasini Andrea (89),ASD Pall. Lungavilla,A,429,29,"14,79",
8,Susnjar Martin (79),Pall. Robbio Aironi,C,355,24,"14,79",
9,Cattaneo Nicolò (88),Nuova Pall. Vigevano 1955,G,418,29,"14,41",
10,Benazzi Paolo (85),A.Dil.Pall. Rag.S.Pio X,A,389,27,"14,41",
11,"Aliprandi Andrea   (94)",A.S. Dil. Lesmo,A,394,28,"14,07",
12,Sala Davide (82),Pall. Robbio Aironi,G,389,28,"13,89",
13,Ceper Lorenzo (79),Nuova Pall. Vigevano 1955,C,333,24,"13,88",
14,Grimaldi Steano (87),Social O.S.A. Milano,G,275,20,"13,75",
15,"Passoni Marcello   (89)",A.S. Dil. Lesmo,P,412,30,"13,73",
16,Aliaj Marsel (88),Pall. Milano 1958,A/C,274,20,"13,70",
17,Montagna Roberto (83),C.S.C. BK Cusano,A/C,397,29,"13,69",
18,Barbirato Diego (84),Nuova Pall. Vigevano 1955,A,407,30,"13,57",
19,Ardizzone Davide (88),Social O.S.A. Milano,G/A,237,18,"13,17",
20,"Mastrantoni Cristiano   (86)",Pall. Milano 1958,G/A,395,30,"13,17",
