D  Lombardia Girone E classifica marcatori in base ai punti segnati,
""
n°,Giocatore,Squadra,Ruolo,P.S.,P.G,Media,
149,Rossi Marco (93),A.S.D. Basket Venegono,G/A,44,8,"5,50",
150,Zampatti,ASD Montello, ,43,8,"5,38",
151,Sali Marco (92),ASD Montello,G,39,8,"4,88",
152,Ghisi Paolo (75),ASD Montello,P,39,27,"1,44",
153,Marzorati,A.S.D. Basket Venegono, ,38,6,"6,33",
154,Moalli,A.S. Dil. Campus Varese, ,37,4,"9,25",
155,Zanasca Elia (98),A.S. Dil. Campus Varese,P/G,37,8,"4,63",
156,Schiavoni Gabriele (97),A.S.D. Basket Venegono,G,37,9,"4,11",
157,Restelli Nicolò,AS Dil. Baskettiamo Vittuone,P/G,37,19,"1,95",
158,Beri Federico (97),A.S.D. Pol. Daverio, ,37,22,"1,68",
159,Grassi Davide  (94),ASD Ardens Basket Sedriano,G,36,10,"3,60",
160,Brignoli Marco  (95),Virtus Olona ASD,G,36,28,"1,29",
161,Mentasti,ASD Montello, ,35,6,"5,83",
162,Cattaneo Emanuele   (88),G.S. Pall. Castronno,G,34,20,"1,70",
163,Pol,A.S. Dil. Campus Varese, ,34,24,"1,42",
164,Zocchi M.,Pallacanestro Busto, ,33,5,"6,60",
165,Martegani Federico   (91),A.S.D. Basket Venegono,P/G,33,18,"1,83",
166,Caproni Lorenzo (95),G.S. Pall. Castronno,P/G,32,22,"1,45",
167,Puglisi,ASD Ardens Basket Sedriano, ,31,4,"7,75",
168,Castiglioni Stefano   (94),A.S.D. Pol. Daverio,P,31,16,"1,94",
169,Tannoia Emanuele,AS Dil. Baskettiamo Vittuone,G,30,3,"10,00",
170,Saracino Mirko  (89),A.S.D. Basket Venegono,A,30,6,"5,00",
171,Bellotto,ASD Montello, ,30,12,"2,50",
172,Manca Matteo,AS Dil. Baskettiamo Vittuone,C,30,16,"1,88",
173,Piccoli Matteo (95),A.S. Dil. Campus Varese, ,29,2,"14,50",
174,Bertuzzi,Pallacanestro Busto, ,29,11,"2,64",
175,Caroli Fabio  (94),U.S. Marnatese Basket,A,28,3,"9,33",
176,Zanzi Gianmarco   (89),G.S. Pall. Castronno,G,28,10,"2,80",
177,Ferraro Salvatore (88),A.S.D. Basket Venegono,A/C,28,13,"2,15",
178,Premazzi Paolo  (95),A.S.D. Basket Venegono,A,28,14,"2,00",
179,Mazza G.,Pallacanestro Busto, ,27,5,"5,40",
180,Cortellari Marco,Or.Ma. Basket Malnate, ,27,9,"3,00",
181,Didonè,ASD Montello, ,27,11,"2,45",
182,Ramazzina,Pallacanestro Busto, ,25,8,"3,13",
183,Chiapparo A.,Nelson Somma Lombardo, ,24,15,"1,60",
184,Cavalli,Nelson Somma Lombardo, ,24,21,"1,14",
185,Prada Alessandro (95),BC Arlunese,P/G,24,22,"1,09",
186,Pagani Giordano,A.S. Dil. Campus Varese,C,23,2,"11,50",
187,Ortega,ASD Montello, ,23,6,"3,83",
188,Trentini,A.S. Dil. Campus Varese, ,21,8,"2,63",
189,Ferrantelli Riccardo   (91),ASD Ardens Basket Sedriano,A,21,10,"2,10",
190,Moretti L.,A.S. Dil. Campus Varese, ,21,11,"1,91",
191,Catturini,ASD Ardens Basket Sedriano, ,20,9,"2,22",
192,Crespi,Nelson Somma Lombardo, ,20,15,"1,33",
193,Morlacchi Riccardo,AS Dil. Baskettiamo Vittuone,A,20,20,"1,00",
194,Bianchi Stefano (97),A.S.D. Basket Venegono,G,19,7,"2,71",
195,Monticelli,Basket Legnano 91, ,19,7,"2,71",
196,Moscatelli Luca (89),Show Camp Corbetta,A,18,10,"1,80",
197,Cremonese Gioele (95),Or.Ma. Basket Malnate,G/A,18,18,"1,00",
198,Chiapparo Federico   (93),Nelson Somma Lombardo,A,17,9,"1,89",
199,Colombo L.,G.S. Pall. Castronno, ,17,14,"1,21",
200,Raimondi Giacomo,U.S. Marnatese Basket, ,17,21,"0,81",
201,Ghezzi,G.S. Pall. Castronno, ,16,4,"4,00",
202,Garegnani Marco (75),Show Camp Corbetta,C,16,5,"3,20",
203,Badalotti D.,Pallacanestro Busto, ,16,11,"1,45",
204,Cattaneo Simone   (94),G.S. Pall. Castronno,G,16,19,"0,84",
205,Giorgetti,Pallacanestro Busto, ,15,5,"3,00",
206,Macchi,A.S. Dil. Campus Varese, ,15,6,"2,50",
207,Baroni,ASD Ardens Basket Sedriano, ,14,5,"2,80",
208,Forin Alessandro (97),Show Camp Corbetta,P/G,14,6,"2,33",
209,Brumana,A.S.D. Pol. Daverio, ,14,7,"2,00",
210,Ferrario Luca (96),A.S.D. Pol. Daverio, ,14,15,"0,93",
211,Bakayou,Or.Ma. Basket Malnate, ,13,3,"4,33",
212,Brega Marco  (95),ASD Montello,P,13,6,"2,17",
213,Galli L.,Nelson Somma Lombardo, ,13,12,"1,08",
214,Fugazzotto Yuri (97),BC Arlunese,P,12,9,"1,33",
215,Ciavarella,U.S. Marnatese Basket, ,12,10,"1,20",
216,Pecorin Andrea  (94),ASD Ardens Basket Sedriano,A,12,12,"1,00",
217,Ciapponi,Virtus Olona ASD, ,12,12,"1,00",
218,Viterbo L.,Pallacanestro Busto, ,12,20,"0,60",
219,Volpini,Pallacanestro Busto, ,11,1,"11,00",
220,Rossi Nicolò  (93),A.S.D. Basket Venegono,G,10,2,"5,00",
221,Carlino,ASD Ardens Basket Sedriano, ,10,5,"2,00",
222,Buzzi Simone,Or.Ma. Basket Malnate, ,10,17,"0,59",
223,Figini Francesco (77),G.S. Pall. Castronno,C,9,5,"1,80",
224,Dejace Michel  (95),A.S. Dil. Campus Varese,A,8,1,"8,00",
225,Campiotti D.,ASD Montello, ,8,3,"2,67",
226,Duroti Jodi (96),A.S.D. Pol. Daverio, ,8,5,"1,60",
